ticker,test_r2,test_mae,baseline_mae,directional_accuracy,n_test_days
CGNX,-0.01208149416428328,0.021724251228762616,0.021771285232059814,0.48056537102473496,283
EMR,-0.0007275681124219169,0.014693593884179635,0.01470539775955407,0.5795053003533569,283
HON,-0.005317116930249499,0.011746844048472713,0.011734030464853974,0.4876325088339223,283
ISRG,-0.011010916870316523,0.014904335102667692,0.014839589467727588,0.48056537102473496,283
NVDA,-0.013041717533161856,0.017642780460570898,0.017540759670849133,0.5265017667844523,283
PH,-0.003169237501746691,0.011965055173936822,0.011923569414501465,0.5477031802120141,283
QQQ,-0.0029692001608476737,0.008949999697139322,0.008958286556511255,0.5406360424028268,283
ROK,-0.002472572763257741,0.01426530839833389,0.014242370653657894,0.49823321554770317,283
SPY,-0.0034319028182139277,0.005944986739923346,0.0059369027730983995,0.5229681978798587,283
TER,-0.0396296759729613,0.032969247117436276,0.03219263723105744,0.4169611307420495,283
